year,industry1,industry2,industry3,occupation1,retrench
1998,manufacturing,other manufacturing industries,other manufacturing industries,total,1760
1998,manufacturing,other manufacturing industries,other manufacturing industries,"professionals, managers, executives and technicians",230
1998,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",110
1998,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",1430
1998,construction,construction,construction,total,2450
1998,construction,construction,construction,"professionals, managers, executives and technicians",270
1998,construction,construction,construction,"clerical, sales and services workers",150
1998,construction,construction,construction,"production and transport operators, cleaners and labourers",2030
1998,services,wholesale and retail trade,wholesale trade,total,3310
1998,services,wholesale and retail trade,wholesale trade,"professionals, managers, executives and technicians",900
1998,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",1050
1998,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",1360
1998,services,wholesale and retail trade,retail trade,total,680
1998,services,wholesale and retail trade,retail trade,"professionals, managers, executives and technicians",140
1998,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",440
1998,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",100
1998,services,hotels and restaurants,hotels,total,980
1998,services,hotels and restaurants,hotels,"professionals, managers, executives and technicians",130
1998,services,hotels and restaurants,hotels,"clerical, sales and services workers",720
1998,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",120
1998,services,hotels and restaurants,restaurants,total,430
1998,services,hotels and restaurants,restaurants,"professionals, managers, executives and technicians",50
1998,services,hotels and restaurants,restaurants,"clerical, sales and services workers",290
1998,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",80
1998,services,"transport, storage and communications","transport, storage and communications",total,820
1998,services,"transport, storage and communications","transport, storage and communications","professionals, managers, executives and technicians",160
1998,services,"transport, storage and communications","transport, storage and communications","clerical, sales and services workers",260
1998,services,"transport, storage and communications","transport, storage and communications","production and transport operators, cleaners and labourers",400
1998,services,financial intermediation,financial institutions,total,1430
1998,services,financial intermediation,financial institutions,"professionals, managers, executives and technicians",770
1998,services,financial intermediation,financial institutions,"clerical, sales and services workers",600
1998,services,financial intermediation,financial institutions,"production and transport operators, cleaners and labourers",60
1998,services,financial intermediation,insurance and pension funding,total,50
1998,services,financial intermediation,insurance and pension funding,"professionals, managers, executives and technicians",30
1998,services,financial intermediation,insurance and pension funding,"clerical, sales and services workers",20
1998,services,financial intermediation,insurance and pension funding,"production and transport operators, cleaners and labourers",-
1998,services,business and real estate services,business and real estate services,total,1590
1998,services,business and real estate services,business and real estate services,"professionals, managers, executives and technicians",840
1998,services,business and real estate services,business and real estate services,"clerical, sales and services workers",470
1998,services,business and real estate services,business and real estate services,"production and transport operators, cleaners and labourers",270
1998,services,"community, social and personal services","community, social and personal services",total,340
1998,services,"community, social and personal services","community, social and personal services","professionals, managers, executives and technicians",110
1998,services,"community, social and personal services","community, social and personal services","clerical, sales and services workers",120
1998,services,"community, social and personal services","community, social and personal services","production and transport operators, cleaners and labourers",100
1998,others,others,others,total,30
1998,others,others,others,"professionals, managers, executives and technicians",-
1998,others,others,others,"clerical, sales and services workers",-
1998,others,others,others,"production and transport operators, cleaners and labourers",30
1999,total,total,total,total,15530
1999,total,total,total,"professionals, managers, executives and technicians",3650
1999,total,total,total,"clerical, sales and services workers",3620
1999,total,total,total,"production and transport operators, cleaners and labourers",8260
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,450
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professionals, managers, executives and technicians",50
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",60
1999,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",340
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,total,30
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,"professionals, managers, executives and technicians",-
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,"clerical, sales and services workers",-
1999,manufacturing,textile and wearing apparel,textile and wearing apparel,"production and transport operators, cleaners and labourers",20
1999,manufacturing,paper products and publishing,paper products and publishing,total,150
1999,manufacturing,paper products and publishing,paper products and publishing,"professionals, managers, executives and technicians",10
1999,manufacturing,paper products and publishing,paper products and publishing,"clerical, sales and services workers",30
1999,manufacturing,paper products and publishing,paper products and publishing,"production and transport operators, cleaners and labourers",110
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,total,310
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,"professionals, managers, executives and technicians",80
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,"clerical, sales and services workers",50
1999,manufacturing,petroleum and chemical products,petroleum and chemical products,"production and transport operators, cleaners and labourers",180
1999,manufacturing,rubber and plastic products,rubber and plastic products,total,300
1999,manufacturing,rubber and plastic products,rubber and plastic products,"professionals, managers, executives and technicians",40
1999,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",20
1999,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",240
1999,manufacturing,fabricated metal products,fabricated metal products,total,270
1999,manufacturing,fabricated metal products,fabricated metal products,"professionals, managers, executives and technicians",30
1999,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",30
1999,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",210
1999,manufacturing,machinery and equipment,machinery and equipment,total,490
1999,manufacturing,machinery and equipment,machinery and equipment,"professionals, managers, executives and technicians",110
1999,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",70
1999,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",310
1999,manufacturing,electrical products,electrical products,total,330
1999,manufacturing,electrical products,electrical products,"professionals, managers, executives and technicians",60
1999,manufacturing,electrical products,electrical products,"clerical, sales and services workers",20
1999,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",240
1999,manufacturing,electronic products,electronic products,total,5200
1999,manufacturing,electronic products,electronic products,"professionals, managers, executives and technicians",850
1999,manufacturing,electronic products,electronic products,"clerical, sales and services workers",380
1999,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",3970
1999,manufacturing,medical and precision instruments,medical and precision instruments,total,90
1999,manufacturing,medical and precision instruments,medical and precision instruments,"professionals, managers, executives and technicians",40
1999,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",20
1999,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",40
1999,manufacturing,transport equipment,transport equipment,total,600
1999,manufacturing,transport equipment,transport equipment,"professionals, managers, executives and technicians",70
1999,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",40
1999,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",490
1999,manufacturing,other manufacturing industries,other manufacturing industries,total,160
1999,manufacturing,other manufacturing industries,other manufacturing industries,"professionals, managers, executives and technicians",10
1999,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",20
1999,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",130
1999,construction,construction,construction,total,830
1999,construction,construction,construction,"professionals, managers, executives and technicians",170
1999,construction,construction,construction,"clerical, sales and services workers",80
1999,construction,construction,construction,"production and transport operators, cleaners and labourers",590
1999,services,wholesale and retail trade,wholesale trade,total,1510
1999,services,wholesale and retail trade,wholesale trade,"professionals, managers, executives and technicians",420
1999,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",490
1999,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",600
1999,services,wholesale and retail trade,retail trade,total,800
1999,services,wholesale and retail trade,retail trade,"professionals, managers, executives and technicians",50
1999,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",690
1999,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",70
1999,services,hotels and restaurants,hotels,total,460
1999,services,hotels and restaurants,hotels,"professionals, managers, executives and technicians",60
1999,services,hotels and restaurants,hotels,"clerical, sales and services workers",250
1999,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",160
1999,services,hotels and restaurants,restaurants,total,90
1999,services,hotels and restaurants,restaurants,"professionals, managers, executives and technicians",10
1999,services,hotels and restaurants,restaurants,"clerical, sales and services workers",80
1999,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",-
1999,services,"transport, storage and communications","transport, storage and communications",total,580
1999,services,"transport, storage and communications","transport, storage and communications","professionals, managers, executives and technicians",140
1999,services,"transport, storage and communications","transport, storage and communications","clerical, sales and services workers",190
1999,services,"transport, storage and communications","transport, storage and communications","production and transport operators, cleaners and labourers",250
1999,services,financial intermediation,financial institutions,total,1550
1999,services,financial intermediation,financial institutions,"professionals, managers, executives and technicians",830
1999,services,financial intermediation,financial institutions,"clerical, sales and services workers",650
1999,services,financial intermediation,financial institutions,"production and transport operators, cleaners and labourers",70
1999,services,financial intermediation,insurance and pension funding,total,30
1999,services,financial intermediation,insurance and pension funding,"professionals, managers, executives and technicians",10
1999,services,financial intermediation,insurance and pension funding,"clerical, sales and services workers",20
1999,services,financial intermediation,insurance and pension funding,"production and transport operators, cleaners and labourers",-
1999,services,business and real estate services,business and real estate services,total,1080
1999,services,business and real estate services,business and real estate services,"professionals, managers, executives and technicians",550
1999,services,business and real estate services,business and real estate services,"clerical, sales and services workers",310
1999,services,business and real estate services,business and real estate services,"production and transport operators, cleaners and labourers",220
1999,services,"community, social and personal services","community, social and personal services",total,210
1999,services,"community, social and personal services","community, social and personal services","professionals, managers, executives and technicians",70
1999,services,"community, social and personal services","community, social and personal services","clerical, sales and services workers",130
1999,services,"community, social and personal services","community, social and personal services","production and transport operators, cleaners and labourers",20
1999,others,others,others,total,10
1999,others,others,others,"professionals, managers, executives and technicians",-
1999,others,others,others,"clerical, sales and services workers",-
1999,others,others,others,"production and transport operators, cleaners and labourers",-
2000,total,total,total,total,11950
2000,total,total,total,"professionals, managers, executives and technicians",2820
2000,total,total,total,"clerical, sales and services workers",1870
2000,total,total,total,"production and transport operators, cleaners and labourers",7260
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,90
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professionals, managers, executives and technicians",20
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",20
2000,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",50
2000,manufacturing,paper products and printing,paper products and printing,total,10
2000,manufacturing,paper products and printing,paper products and printing,"professionals, managers, executives and technicians",-
2000,manufacturing,paper products and printing,paper products and printing,"clerical, sales and services workers",-
2000,manufacturing,paper products and printing,paper products and printing,"production and transport operators, cleaners and labourers",10
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,200
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",70
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",50
2000,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",80
2000,manufacturing,rubber and plastic products,rubber and plastic products,total,70
2000,manufacturing,rubber and plastic products,rubber and plastic products,"professionals, managers, executives and technicians",-
2000,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",10
2000,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",60
2000,manufacturing,fabricated metal products,fabricated metal products,total,290
2000,manufacturing,fabricated metal products,fabricated metal products,"professionals, managers, executives and technicians",30
2000,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",10
2000,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",240
2000,manufacturing,machinery and equipment,machinery and equipment,total,310
2000,manufacturing,machinery and equipment,machinery and equipment,"professionals, managers, executives and technicians",40
2000,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",40
2000,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",220
2000,manufacturing,electrical products,electrical products,total,70
2000,manufacturing,electrical products,electrical products,"professionals, managers, executives and technicians",20
2000,manufacturing,electrical products,electrical products,"clerical, sales and services workers",10
2000,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",50
2000,manufacturing,electronic products,electronic products,total,5990
2000,manufacturing,electronic products,electronic products,"professionals, managers, executives and technicians",930
2000,manufacturing,electronic products,electronic products,"clerical, sales and services workers",340
2000,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",4710
2000,manufacturing,medical and precision instruments,medical and precision instruments,total,10
2000,manufacturing,medical and precision instruments,medical and precision instruments,"professionals, managers, executives and technicians",10
2000,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",-
2000,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",-
2000,manufacturing,transport equipment,transport equipment,total,210
2000,manufacturing,transport equipment,transport equipment,"professionals, managers, executives and technicians",10
2000,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",-
2000,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",200
2000,manufacturing,other manufacturing industries,other manufacturing industries,total,260
2000,manufacturing,other manufacturing industries,other manufacturing industries,"professionals, managers, executives and technicians",20
2000,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",20
2000,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",210
2000,construction,construction,construction,total,380
2000,construction,construction,construction,"professionals, managers, executives and technicians",50
2000,construction,construction,construction,"clerical, sales and services workers",30
2000,construction,construction,construction,"production and transport operators, cleaners and labourers",300
2000,services,wholesale and retail trade,wholesale trade,total,880
2000,services,wholesale and retail trade,wholesale trade,"professionals, managers, executives and technicians",340
2000,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",290
2000,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",260
2000,services,wholesale and retail trade,retail trade,total,120
2000,services,wholesale and retail trade,retail trade,"professionals, managers, executives and technicians",50
2000,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",70
2000,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",10
2000,services,transport and storage,land transport and supporting services,total,10
2000,services,transport and storage,land transport and supporting services,"professionals, managers, executives and technicians",-
2000,services,transport and storage,land transport and supporting services,"clerical, sales and services workers",-
2000,services,transport and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",10
2000,services,transport and storage,water transport and supporting services,total,170
2000,services,transport and storage,water transport and supporting services,"professionals, managers, executives and technicians",60
2000,services,transport and storage,water transport and supporting services,"clerical, sales and services workers",60
2000,services,transport and storage,water transport and supporting services,"production and transport operators, cleaners and labourers",50
2000,services,transport and storage,air transport and supporting services,total,20
2000,services,transport and storage,air transport and supporting services,"professionals, managers, executives and technicians",-
2000,services,transport and storage,air transport and supporting services,"clerical, sales and services workers",20
2000,services,transport and storage,air transport and supporting services,"production and transport operators, cleaners and labourers",-
2000,services,transport and storage,other transport and storage services,total,440
2000,services,transport and storage,other transport and storage services,"professionals, managers, executives and technicians",30
2000,services,transport and storage,other transport and storage services,"clerical, sales and services workers",40
2000,services,transport and storage,other transport and storage services,"production and transport operators, cleaners and labourers",370
2000,services,hotels and restaurants,hotels,total,260
2000,services,hotels and restaurants,hotels,"professionals, managers, executives and technicians",60
2000,services,hotels and restaurants,hotels,"clerical, sales and services workers",200
2000,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",10
2000,services,hotels and restaurants,restaurants,total,180
2000,services,hotels and restaurants,restaurants,"professionals, managers, executives and technicians",20
2000,services,hotels and restaurants,restaurants,"clerical, sales and services workers",120
2000,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",40
2000,services,information and communications,broadcasting and publishing,total,300
2000,services,information and communications,broadcasting and publishing,"professionals, managers, executives and technicians",240
2000,services,information and communications,broadcasting and publishing,"clerical, sales and services workers",40
2000,services,information and communications,broadcasting and publishing,"production and transport operators, cleaners and labourers",20
2000,services,information and communications,telecommunications,total,30
2000,services,information and communications,telecommunications,"professionals, managers, executives and technicians",10
2000,services,information and communications,telecommunications,"clerical, sales and services workers",10
2000,services,information and communications,telecommunications,"production and transport operators, cleaners and labourers",-
2000,services,information and communications,it and other information services,total,90
2000,services,information and communications,it and other information services,"professionals, managers, executives and technicians",70
2000,services,information and communications,it and other information services,"clerical, sales and services workers",20
2000,services,information and communications,it and other information services,"production and transport operators, cleaners and labourers",-
2000,services,financial services,financial institutions,total,880
2000,services,financial services,financial institutions,"professionals, managers, executives and technicians",450
2000,services,financial services,financial institutions,"clerical, sales and services workers",320
2000,services,financial services,financial institutions,"production and transport operators, cleaners and labourers",120
2000,services,financial services,insurance,total,40
2000,services,financial services,insurance,"professionals, managers, executives and technicians",10
2000,services,financial services,insurance,"clerical, sales and services workers",20
2000,services,financial services,insurance,"production and transport operators, cleaners and labourers",-
2000,services,real estate and leasing services,real estate and leasing services,total,40
2000,services,real estate and leasing services,real estate and leasing services,"professionals, managers, executives and technicians",10
2000,services,real estate and leasing services,real estate and leasing services,"clerical, sales and services workers",10
2000,services,real estate and leasing services,real estate and leasing services,"production and transport operators, cleaners and labourers",20
2000,services,professionals services,"legal, accounting and management services",total,280
2000,services,professionals services,"legal, accounting and management services","professionals, managers, executives and technicians",110
2000,services,professionals services,"legal, accounting and management services","clerical, sales and services workers",40
2000,services,professionals services,"legal, accounting and management services","production and transport operators, cleaners and labourers",140
2000,services,professionals services,architectural and engineering services,total,210
2000,services,professionals services,architectural and engineering services,"professionals, managers, executives and technicians",120
2000,services,professionals services,architectural and engineering services,"clerical, sales and services workers",30
2000,services,professionals services,architectural and engineering services,"production and transport operators, cleaners and labourers",50
2000,services,professionals services,other professionals services,total,10
2000,services,professionals services,other professionals services,"professionals, managers, executives and technicians",10
2000,services,professionals services,other professionals services,"clerical, sales and services workers",10
2000,services,professionals services,other professionals services,"production and transport operators, cleaners and labourers",-
2000,services,administrative and support services,administrative and support services,total,30
2000,services,administrative and support services,administrative and support services,"professionals, managers, executives and technicians",10
2000,services,administrative and support services,administrative and support services,"clerical, sales and services workers",20
2000,services,administrative and support services,administrative and support services,"production and transport operators, cleaners and labourers",-
2000,services,"community, social and personal services",education,total,10
2000,services,"community, social and personal services",education,"professionals, managers, executives and technicians",-
2000,services,"community, social and personal services",education,"clerical, sales and services workers",10
2000,services,"community, social and personal services",education,"production and transport operators, cleaners and labourers",-
2000,services,"community, social and personal services","health, social and community services",total,10
2000,services,"community, social and personal services","health, social and community services","professionals, managers, executives and technicians",-
2000,services,"community, social and personal services","health, social and community services","clerical, sales and services workers",10
2000,services,"community, social and personal services","health, social and community services","production and transport operators, cleaners and labourers",-
2000,services,"community, social and personal services","other community, social and personal services",total,70
2000,services,"community, social and personal services","other community, social and personal services","professionals, managers, executives and technicians",20
2000,services,"community, social and personal services","other community, social and personal services","clerical, sales and services workers",30
2000,services,"community, social and personal services","other community, social and personal services","production and transport operators, cleaners and labourers",20
2000,others,others,others,total,-
2000,others,others,others,"professionals, managers, executives and technicians",-
2000,others,others,others,"clerical, sales and services workers",-
2000,others,others,others,"production and transport operators, cleaners and labourers",-
2001,total,total,total,total,27570
2001,total,total,total,"professionals, managers, executives and technicians",8720
2001,total,total,total,"clerical, sales and services workers",4100
2001,total,total,total,"production and transport operators, cleaners and labourers",14760
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,100
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professionals, managers, executives and technicians",10
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",20
2001,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",70
2001,manufacturing,paper products and printing,paper products and printing,total,130
2001,manufacturing,paper products and printing,paper products and printing,"professionals, managers, executives and technicians",70
2001,manufacturing,paper products and printing,paper products and printing,"clerical, sales and services workers",10
2001,manufacturing,paper products and printing,paper products and printing,"production and transport operators, cleaners and labourers",60
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",total,320
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",100
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","clerical, sales and services workers",70
2001,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",150
2001,manufacturing,rubber and plastic products,rubber and plastic products,total,1430
2001,manufacturing,rubber and plastic products,rubber and plastic products,"professionals, managers, executives and technicians",60
2001,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",160
2001,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",1210
2001,manufacturing,fabricated metal products,fabricated metal products,total,880
2001,manufacturing,fabricated metal products,fabricated metal products,"professionals, managers, executives and technicians",100
2001,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",60
2001,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",720
2001,manufacturing,machinery and equipment,machinery and equipment,total,1180
2001,manufacturing,machinery and equipment,machinery and equipment,"professionals, managers, executives and technicians",390
2001,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",120
2001,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",670
2001,manufacturing,electrical products,electrical products,total,620
2001,manufacturing,electrical products,electrical products,"professionals, managers, executives and technicians",70
2001,manufacturing,electrical products,electrical products,"clerical, sales and services workers",40
2001,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",510
2001,manufacturing,electronic products,electronic products,total,9800
2001,manufacturing,electronic products,electronic products,"professionals, managers, executives and technicians",2050
2001,manufacturing,electronic products,electronic products,"clerical, sales and services workers",460
2001,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",7280
2001,manufacturing,medical and precision instruments,medical and precision instruments,total,250
2001,manufacturing,medical and precision instruments,medical and precision instruments,"professionals, managers, executives and technicians",50
2001,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",30
2001,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",170
2001,manufacturing,transport equipment,transport equipment,total,230
2001,manufacturing,transport equipment,transport equipment,"professionals, managers, executives and technicians",50
2001,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",30
2001,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",150
2001,manufacturing,other manufacturing industries,other manufacturing industries,total,750
2001,manufacturing,other manufacturing industries,other manufacturing industries,"professionals, managers, executives and technicians",60
2001,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",40
2001,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",650
2001,construction,construction,construction,total,900
2001,construction,construction,construction,"professionals, managers, executives and technicians",230
2001,construction,construction,construction,"clerical, sales and services workers",120
2001,construction,construction,construction,"production and transport operators, cleaners and labourers",550
2001,services,wholesale and retail trade,wholesale trade,total,2760
2001,services,wholesale and retail trade,wholesale trade,"professionals, managers, executives and technicians",1160
2001,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",650
2001,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",950
2001,services,wholesale and retail trade,retail trade,total,210
2001,services,wholesale and retail trade,retail trade,"professionals, managers, executives and technicians",110
2001,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",70
2001,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",30
2001,services,transport and storage,land transport and supporting services,total,200
2001,services,transport and storage,land transport and supporting services,"professionals, managers, executives and technicians",10
2001,services,transport and storage,land transport and supporting services,"clerical, sales and services workers",10
2001,services,transport and storage,land transport and supporting services,"production and transport operators, cleaners and labourers",180
2001,services,transport and storage,water transport and supporting services,total,130
2001,services,transport and storage,water transport and supporting services,"professionals, managers, executives and technicians",40
