year,industry1,industry2,occupation1,retrench
1998,manufacturing,electronic products,total,11340
1998,manufacturing,electronic products,"professionals, managers, executives and technicians",1690
1998,manufacturing,electronic products,"clerical, sales and services workers",560
1998,manufacturing,electronic products,"production and transport operators, cleaners and labourers",9100
1998,manufacturing,medical and precision instruments,total,270
1998,manufacturing,medical and precision instruments,"professionals, managers, executives and technicians",70
1998,manufacturing,medical and precision instruments,"clerical, sales and services workers",30
1998,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",160
1998,manufacturing,transport equipment,total,240
1998,manufacturing,transport equipment,"professionals, managers, executives and technicians",60
1998,manufacturing,transport equipment,"clerical, sales and services workers",30
1998,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",150
1998,manufacturing,other manufacturing industries,total,1760
1998,manufacturing,other manufacturing industries,"professionals, managers, executives and technicians",230
1998,manufacturing,other manufacturing industries,"clerical, sales and services workers",110
1998,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",1430
1998,construction,construction,total,2450
1998,construction,construction,"professionals, managers, executives and technicians",270
1998,construction,construction,"clerical, sales and services workers",150
1998,construction,construction,"production and transport operators, cleaners and labourers",2030
1998,services,wholesale and retail trade,total,3990
1998,services,wholesale and retail trade,"professionals, managers, executives and technicians",1050
1998,services,wholesale and retail trade,"clerical, sales and services workers",1490
1998,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1450
1998,services,hotels and restaurants,total,1400
1998,services,hotels and restaurants,"professionals, managers, executives and technicians",180
1998,services,hotels and restaurants,"clerical, sales and services workers",1010
1998,services,hotels and restaurants,"production and transport operators, cleaners and labourers",210
1998,services,"transport, storage and communications",total,820
1998,services,"transport, storage and communications","professionals, managers, executives and technicians",160
1998,services,"transport, storage and communications","clerical, sales and services workers",260
1998,services,"transport, storage and communications","production and transport operators, cleaners and labourers",400
1998,services,financial intermediation,total,1480
1998,services,financial intermediation,"professionals, managers, executives and technicians",790
1998,services,financial intermediation,"clerical, sales and services workers",630
1998,services,financial intermediation,"production and transport operators, cleaners and labourers",60
1998,services,business and real estate services,total,1590
1998,services,business and real estate services,"professionals, managers, executives and technicians",840
1998,services,business and real estate services,"clerical, sales and services workers",470
1998,services,business and real estate services,"production and transport operators, cleaners and labourers",270
1998,services,"community, social and personal services",total,340
1998,services,"community, social and personal services","professionals, managers, executives and technicians",110
1998,services,"community, social and personal services","clerical, sales and services workers",120
1998,services,"community, social and personal services","production and transport operators, cleaners and labourers",100
1998,others,others,total,30
1998,others,others,"professionals, managers, executives and technicians",-
1998,others,others,"clerical, sales and services workers",-
1998,others,others,"production and transport operators, cleaners and labourers",30
1999,total,total,total,15530
1999,total,total,"professionals, managers, executives and technicians",3650
1999,total,total,"clerical, sales and services workers",3620
1999,total,total,"production and transport operators, cleaners and labourers",8260
1999,manufacturing,"food, beverages and tobacco",total,450
1999,manufacturing,"food, beverages and tobacco","professionals, managers, executives and technicians",50
1999,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",60
1999,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",340
1999,manufacturing,textile and wearing apparel,total,30
1999,manufacturing,textile and wearing apparel,"professionals, managers, executives and technicians",-
1999,manufacturing,textile and wearing apparel,"clerical, sales and services workers",-
1999,manufacturing,textile and wearing apparel,"production and transport operators, cleaners and labourers",20
1999,manufacturing,paper products and publishing,total,150
1999,manufacturing,paper products and publishing,"professionals, managers, executives and technicians",10
1999,manufacturing,paper products and publishing,"clerical, sales and services workers",30
1999,manufacturing,paper products and publishing,"production and transport operators, cleaners and labourers",110
1999,manufacturing,petroleum and chemical products,total,310
1999,manufacturing,petroleum and chemical products,"professionals, managers, executives and technicians",80
1999,manufacturing,petroleum and chemical products,"clerical, sales and services workers",50
1999,manufacturing,petroleum and chemical products,"production and transport operators, cleaners and labourers",180
1999,manufacturing,rubber and plastic products,total,300
1999,manufacturing,rubber and plastic products,"professionals, managers, executives and technicians",40
1999,manufacturing,rubber and plastic products,"clerical, sales and services workers",20
1999,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",240
1999,manufacturing,fabricated metal products,total,270
1999,manufacturing,fabricated metal products,"professionals, managers, executives and technicians",30
1999,manufacturing,fabricated metal products,"clerical, sales and services workers",30
1999,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",210
1999,manufacturing,machinery and equipment,total,490
1999,manufacturing,machinery and equipment,"professionals, managers, executives and technicians",110
1999,manufacturing,machinery and equipment,"clerical, sales and services workers",70
1999,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",310
1999,manufacturing,electrical products,total,330
1999,manufacturing,electrical products,"professionals, managers, executives and technicians",60
1999,manufacturing,electrical products,"clerical, sales and services workers",20
1999,manufacturing,electrical products,"production and transport operators, cleaners and labourers",240
1999,manufacturing,electronic products,total,5200
1999,manufacturing,electronic products,"professionals, managers, executives and technicians",850
1999,manufacturing,electronic products,"clerical, sales and services workers",380
1999,manufacturing,electronic products,"production and transport operators, cleaners and labourers",3970
1999,manufacturing,medical and precision instruments,total,90
1999,manufacturing,medical and precision instruments,"professionals, managers, executives and technicians",40
1999,manufacturing,medical and precision instruments,"clerical, sales and services workers",20
1999,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",40
1999,manufacturing,transport equipment,total,600
1999,manufacturing,transport equipment,"professionals, managers, executives and technicians",70
1999,manufacturing,transport equipment,"clerical, sales and services workers",40
1999,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",490
1999,manufacturing,other manufacturing industries,total,160
1999,manufacturing,other manufacturing industries,"professionals, managers, executives and technicians",10
1999,manufacturing,other manufacturing industries,"clerical, sales and services workers",20
1999,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",130
1999,construction,construction,total,830
1999,construction,construction,"professionals, managers, executives and technicians",170
1999,construction,construction,"clerical, sales and services workers",80
1999,construction,construction,"production and transport operators, cleaners and labourers",590
1999,services,wholesale and retail trade,total,2310
1999,services,wholesale and retail trade,"professionals, managers, executives and technicians",470
1999,services,wholesale and retail trade,"clerical, sales and services workers",1170
1999,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",670
1999,services,hotels and restaurants,total,550
1999,services,hotels and restaurants,"professionals, managers, executives and technicians",70
1999,services,hotels and restaurants,"clerical, sales and services workers",320
1999,services,hotels and restaurants,"production and transport operators, cleaners and labourers",160
1999,services,"transport, storage and communications",total,580
1999,services,"transport, storage and communications","professionals, managers, executives and technicians",140
1999,services,"transport, storage and communications","clerical, sales and services workers",190
1999,services,"transport, storage and communications","production and transport operators, cleaners and labourers",250
1999,services,financial intermediation,total,1580
1999,services,financial intermediation,"professionals, managers, executives and technicians",840
1999,services,financial intermediation,"clerical, sales and services workers",680
1999,services,financial intermediation,"production and transport operators, cleaners and labourers",70
1999,services,business and real estate services,total,1080
1999,services,business and real estate services,"professionals, managers, executives and technicians",550
1999,services,business and real estate services,"clerical, sales and services workers",310
1999,services,business and real estate services,"production and transport operators, cleaners and labourers",220
1999,services,"community, social and personal services",total,210
1999,services,"community, social and personal services","professionals, managers, executives and technicians",70
1999,services,"community, social and personal services","clerical, sales and services workers",130
1999,services,"community, social and personal services","production and transport operators, cleaners and labourers",20
1999,others,others,total,10
1999,others,others,"professionals, managers, executives and technicians",-
1999,others,others,"clerical, sales and services workers",-
1999,others,others,"production and transport operators, cleaners and labourers",-
2000,total,total,total,11950
2000,total,total,"professionals, managers, executives and technicians",2820
2000,total,total,"clerical, sales and services workers",1870
2000,total,total,"production and transport operators, cleaners and labourers",7260
2000,manufacturing,"food, beverages and tobacco",total,90
2000,manufacturing,"food, beverages and tobacco","professionals, managers, executives and technicians",20
2000,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",20
2000,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",50
2000,manufacturing,paper products and printing,total,10
2000,manufacturing,paper products and printing,"professionals, managers, executives and technicians",-
2000,manufacturing,paper products and printing,"clerical, sales and services workers",-
2000,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",10
2000,manufacturing,"petroleum, chemical and pharmaceutical products",total,200
2000,manufacturing,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",70
2000,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",50
2000,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",80
2000,manufacturing,rubber and plastic products,total,70
2000,manufacturing,rubber and plastic products,"professionals, managers, executives and technicians",-
2000,manufacturing,rubber and plastic products,"clerical, sales and services workers",10
2000,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",60
2000,manufacturing,fabricated metal products,total,290
2000,manufacturing,fabricated metal products,"professionals, managers, executives and technicians",30
2000,manufacturing,fabricated metal products,"clerical, sales and services workers",10
2000,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",240
2000,manufacturing,machinery and equipment,total,310
2000,manufacturing,machinery and equipment,"professionals, managers, executives and technicians",40
2000,manufacturing,machinery and equipment,"clerical, sales and services workers",40
2000,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",220
2000,manufacturing,electrical products,total,70
2000,manufacturing,electrical products,"professionals, managers, executives and technicians",20
2000,manufacturing,electrical products,"clerical, sales and services workers",10
2000,manufacturing,electrical products,"production and transport operators, cleaners and labourers",50
2000,manufacturing,electronic products,total,5990
2000,manufacturing,electronic products,"professionals, managers, executives and technicians",930
2000,manufacturing,electronic products,"clerical, sales and services workers",340
2000,manufacturing,electronic products,"production and transport operators, cleaners and labourers",4710
2000,manufacturing,medical and precision instruments,total,10
2000,manufacturing,medical and precision instruments,"professionals, managers, executives and technicians",10
2000,manufacturing,medical and precision instruments,"clerical, sales and services workers",-
2000,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",-
2000,manufacturing,transport equipment,total,210
2000,manufacturing,transport equipment,"professionals, managers, executives and technicians",10
2000,manufacturing,transport equipment,"clerical, sales and services workers",-
2000,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",200
2000,manufacturing,other manufacturing industries,total,260
2000,manufacturing,other manufacturing industries,"professionals, managers, executives and technicians",20
2000,manufacturing,other manufacturing industries,"clerical, sales and services workers",20
2000,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",210
2000,construction,construction,total,380
2000,construction,construction,"professionals, managers, executives and technicians",50
2000,construction,construction,"clerical, sales and services workers",30
2000,construction,construction,"production and transport operators, cleaners and labourers",300
2000,services,wholesale and retail trade,total,1010
2000,services,wholesale and retail trade,"professionals, managers, executives and technicians",380
2000,services,wholesale and retail trade,"clerical, sales and services workers",360
2000,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",270
2000,services,transport and storage,total,640
2000,services,transport and storage,"professionals, managers, executives and technicians",100
2000,services,transport and storage,"clerical, sales and services workers",110
2000,services,transport and storage,"production and transport operators, cleaners and labourers",430
2000,services,hotels and restaurants,total,440
2000,services,hotels and restaurants,"professionals, managers, executives and technicians",80
2000,services,hotels and restaurants,"clerical, sales and services workers",320
2000,services,hotels and restaurants,"production and transport operators, cleaners and labourers",50
2000,services,information and communications,total,410
2000,services,information and communications,"professionals, managers, executives and technicians",330
2000,services,information and communications,"clerical, sales and services workers",70
2000,services,information and communications,"production and transport operators, cleaners and labourers",20
2000,services,financial services,total,920
2000,services,financial services,"professionals, managers, executives and technicians",460
2000,services,financial services,"clerical, sales and services workers",350
2000,services,financial services,"production and transport operators, cleaners and labourers",120
2000,services,real estate and leasing services,total,40
2000,services,real estate and leasing services,"professionals, managers, executives and technicians",10
2000,services,real estate and leasing services,"clerical, sales and services workers",10
2000,services,real estate and leasing services,"production and transport operators, cleaners and labourers",20
2000,services,professionals services,total,510
2000,services,professionals services,"professionals, managers, executives and technicians",240
2000,services,professionals services,"clerical, sales and services workers",70
2000,services,professionals services,"production and transport operators, cleaners and labourers",190
2000,services,administrative and support services,total,30
2000,services,administrative and support services,"professionals, managers, executives and technicians",10
2000,services,administrative and support services,"clerical, sales and services workers",20
2000,services,administrative and support services,"production and transport operators, cleaners and labourers",-
2000,services,"community, social and personal services",total,90
2000,services,"community, social and personal services","professionals, managers, executives and technicians",20
2000,services,"community, social and personal services","clerical, sales and services workers",40
2000,services,"community, social and personal services","production and transport operators, cleaners and labourers",30
2000,others,others,total,-
2000,others,others,"professionals, managers, executives and technicians",-
2000,others,others,"clerical, sales and services workers",-
2000,others,others,"production and transport operators, cleaners and labourers",-
2001,total,total,total,27570
2001,total,total,"professionals, managers, executives and technicians",8720
2001,total,total,"clerical, sales and services workers",4100
2001,total,total,"production and transport operators, cleaners and labourers",14760
2001,manufacturing,"food, beverages and tobacco",total,100
2001,manufacturing,"food, beverages and tobacco","professionals, managers, executives and technicians",10
2001,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",20
2001,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",70
2001,manufacturing,paper products and printing,total,130
2001,manufacturing,paper products and printing,"professionals, managers, executives and technicians",70
2001,manufacturing,paper products and printing,"clerical, sales and services workers",10
2001,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",60
2001,manufacturing,"petroleum, chemical and pharmaceutical products",total,320
2001,manufacturing,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",100
2001,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",70
2001,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",150
2001,manufacturing,rubber and plastic products,total,1430
2001,manufacturing,rubber and plastic products,"professionals, managers, executives and technicians",60
2001,manufacturing,rubber and plastic products,"clerical, sales and services workers",160
2001,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",1210
2001,manufacturing,fabricated metal products,total,880
2001,manufacturing,fabricated metal products,"professionals, managers, executives and technicians",100
2001,manufacturing,fabricated metal products,"clerical, sales and services workers",60
2001,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",720
2001,manufacturing,machinery and equipment,total,1180
2001,manufacturing,machinery and equipment,"professionals, managers, executives and technicians",390
2001,manufacturing,machinery and equipment,"clerical, sales and services workers",120
2001,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",670
2001,manufacturing,electrical products,total,620
2001,manufacturing,electrical products,"professionals, managers, executives and technicians",70
2001,manufacturing,electrical products,"clerical, sales and services workers",40
2001,manufacturing,electrical products,"production and transport operators, cleaners and labourers",510
2001,manufacturing,electronic products,total,9800
2001,manufacturing,electronic products,"professionals, managers, executives and technicians",2050
2001,manufacturing,electronic products,"clerical, sales and services workers",460
2001,manufacturing,electronic products,"production and transport operators, cleaners and labourers",7280
2001,manufacturing,medical and precision instruments,total,250
2001,manufacturing,medical and precision instruments,"professionals, managers, executives and technicians",50
2001,manufacturing,medical and precision instruments,"clerical, sales and services workers",30
2001,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",170
2001,manufacturing,transport equipment,total,230
2001,manufacturing,transport equipment,"professionals, managers, executives and technicians",50
2001,manufacturing,transport equipment,"clerical, sales and services workers",30
2001,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",150
2001,manufacturing,other manufacturing industries,total,750
2001,manufacturing,other manufacturing industries,"professionals, managers, executives and technicians",60
2001,manufacturing,other manufacturing industries,"clerical, sales and services workers",40
2001,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",650
2001,construction,construction,total,900
2001,construction,construction,"professionals, managers, executives and technicians",230
2001,construction,construction,"clerical, sales and services workers",120
2001,construction,construction,"production and transport operators, cleaners and labourers",550
2001,services,wholesale and retail trade,total,2970
2001,services,wholesale and retail trade,"professionals, managers, executives and technicians",1270
2001,services,wholesale and retail trade,"clerical, sales and services workers",720
2001,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",980
2001,services,transport and storage,total,1100
2001,services,transport and storage,"professionals, managers, executives and technicians",130
2001,services,transport and storage,"clerical, sales and services workers",470
2001,services,transport and storage,"production and transport operators, cleaners and labourers",490
2001,services,hotels and restaurants,total,240
2001,services,hotels and restaurants,"professionals, managers, executives and technicians",30
2001,services,hotels and restaurants,"clerical, sales and services workers",140
2001,services,hotels and restaurants,"production and transport operators, cleaners and labourers",70
2001,services,information and communications,total,1690
2001,services,information and communications,"professionals, managers, executives and technicians",1510
2001,services,information and communications,"clerical, sales and services workers",170
2001,services,information and communications,"production and transport operators, cleaners and labourers",20
2001,services,financial services,total,2520
2001,services,financial services,"professionals, managers, executives and technicians",1390
2001,services,financial services,"clerical, sales and services workers",1030
2001,services,financial services,"production and transport operators, cleaners and labourers",100
2001,services,real estate and leasing services,total,100
2001,services,real estate and leasing services,"professionals, managers, executives and technicians",30
2001,services,real estate and leasing services,"clerical, sales and services workers",30
2001,services,real estate and leasing services,"production and transport operators, cleaners and labourers",40
2001,services,professionals services,total,1710
2001,services,professionals services,"professionals, managers, executives and technicians",910
2001,services,professionals services,"clerical, sales and services workers",230
2001,services,professionals services,"production and transport operators, cleaners and labourers",560
2001,services,administrative and support services,total,270
2001,services,administrative and support services,"professionals, managers, executives and technicians",50
2001,services,administrative and support services,"clerical, sales and services workers",80
2001,services,administrative and support services,"production and transport operators, cleaners and labourers",140
2001,services,"community, social and personal services",total,180
2001,services,"community, social and personal services","professionals, managers, executives and technicians",70
2001,services,"community, social and personal services","clerical, sales and services workers",50
2001,services,"community, social and personal services","production and transport operators, cleaners and labourers",60
2001,others,others,total,200
2001,others,others,"professionals, managers, executives and technicians",80
2001,others,others,"clerical, sales and services workers",10
2001,others,others,"production and transport operators, cleaners and labourers",120
2002,total,total,total,20130
2002,total,total,"professionals, managers, executives and technicians",7150
2002,total,total,"clerical, sales and services workers",3870
2002,total,total,"production and transport operators, cleaners and labourers",9110
2002,manufacturing,"food, beverages and tobacco",total,80
2002,manufacturing,"food, beverages and tobacco","professionals, managers, executives and technicians",10
2002,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",20
2002,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",50
2002,manufacturing,paper products and printing,total,430
2002,manufacturing,paper products and printing,"professionals, managers, executives and technicians",50
2002,manufacturing,paper products and printing,"clerical, sales and services workers",40
2002,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",340
2002,manufacturing,"petroleum, chemical and pharmaceutical products",total,260
2002,manufacturing,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",70
2002,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",50
2002,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",130
2002,manufacturing,rubber and plastic products,total,710
2002,manufacturing,rubber and plastic products,"professionals, managers, executives and technicians",80
2002,manufacturing,rubber and plastic products,"clerical, sales and services workers",30
2002,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",600
2002,manufacturing,fabricated metal products,total,1440
2002,manufacturing,fabricated metal products,"professionals, managers, executives and technicians",200
2002,manufacturing,fabricated metal products,"clerical, sales and services workers",70
2002,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",1170
2002,manufacturing,machinery and equipment,total,990
2002,manufacturing,machinery and equipment,"professionals, managers, executives and technicians",320
2002,manufacturing,machinery and equipment,"clerical, sales and services workers",90
2002,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",590
2002,manufacturing,electrical products,total,800
2002,manufacturing,electrical products,"professionals, managers, executives and technicians",70
2002,manufacturing,electrical products,"clerical, sales and services workers",20
2002,manufacturing,electrical products,"production and transport operators, cleaners and labourers",700
2002,manufacturing,electronic products,total,4080
2002,manufacturing,electronic products,"professionals, managers, executives and technicians",1210
2002,manufacturing,electronic products,"clerical, sales and services workers",310
2002,manufacturing,electronic products,"production and transport operators, cleaners and labourers",2570
2002,manufacturing,medical and precision instruments,total,100
2002,manufacturing,medical and precision instruments,"professionals, managers, executives and technicians",30
2002,manufacturing,medical and precision instruments,"clerical, sales and services workers",10
2002,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",60
2002,manufacturing,transport equipment,total,280
2002,manufacturing,transport equipment,"professionals, managers, executives and technicians",60
2002,manufacturing,transport equipment,"clerical, sales and services workers",50
2002,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",170
2002,manufacturing,other manufacturing industries,total,500
2002,manufacturing,other manufacturing industries,"professionals, managers, executives and technicians",80
2002,manufacturing,other manufacturing industries,"clerical, sales and services workers",50
2002,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",380
2002,construction,construction,total,1000
2002,construction,construction,"professionals, managers, executives and technicians",230
2002,construction,construction,"clerical, sales and services workers",140
2002,construction,construction,"production and transport operators, cleaners and labourers",630
2002,services,wholesale and retail trade,total,2370
2002,services,wholesale and retail trade,"professionals, managers, executives and technicians",1040
2002,services,wholesale and retail trade,"clerical, sales and services workers",660
2002,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",670
2002,services,transport and storage,total,530
2002,services,transport and storage,"professionals, managers, executives and technicians",100
2002,services,transport and storage,"clerical, sales and services workers",170
2002,services,transport and storage,"production and transport operators, cleaners and labourers",260
2002,services,hotels and restaurants,total,390
2002,services,hotels and restaurants,"professionals, managers, executives and technicians",60
2002,services,hotels and restaurants,"clerical, sales and services workers",270
2002,services,hotels and restaurants,"production and transport operators, cleaners and labourers",50
2002,services,information and communications,total,1730
2002,services,information and communications,"professionals, managers, executives and technicians",1370
2002,services,information and communications,"clerical, sales and services workers",290
2002,services,information and communications,"production and transport operators, cleaners and labourers",70
2002,services,financial services,total,2780
2002,services,financial services,"professionals, managers, executives and technicians",1460
2002,services,financial services,"clerical, sales and services workers",1220
2002,services,financial services,"production and transport operators, cleaners and labourers",100
2002,services,real estate and leasing services,total,220
2002,services,real estate and leasing services,"professionals, managers, executives and technicians",70
2002,services,real estate and leasing services,"clerical, sales and services workers",90
2002,services,real estate and leasing services,"production and transport operators, cleaners and labourers",70
2002,services,professionals services,total,970
2002,services,professionals services,"professionals, managers, executives and technicians",500
2002,services,professionals services,"clerical, sales and services workers",170
2002,services,professionals services,"production and transport operators, cleaners and labourers",300
2002,services,administrative and support services,total,110
2002,services,administrative and support services,"professionals, managers, executives and technicians",40
2002,services,administrative and support services,"clerical, sales and services workers",10
2002,services,administrative and support services,"production and transport operators, cleaners and labourers",60
2002,services,"community, social and personal services",total,200
2002,services,"community, social and personal services","professionals, managers, executives and technicians",80
2002,services,"community, social and personal services","clerical, sales and services workers",100
2002,services,"community, social and personal services","production and transport operators, cleaners and labourers",20
2002,others,others,total,180
2002,others,others,"professionals, managers, executives and technicians",40
2002,others,others,"clerical, sales and services workers",10
2002,others,others,"production and transport operators, cleaners and labourers",130
2003,total,total,total,17260
2003,total,total,"professionals, managers, executives and technicians",6220
2003,total,total,"clerical, sales and services workers",3840
2003,total,total,"production and transport operators, cleaners and labourers",7210
2003,manufacturing,"food, beverages and tobacco",total,170
2003,manufacturing,"food, beverages and tobacco","professionals, managers, executives and technicians",40
2003,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",20
2003,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",120
2003,manufacturing,paper products and printing,total,220
2003,manufacturing,paper products and printing,"professionals, managers, executives and technicians",30
2003,manufacturing,paper products and printing,"clerical, sales and services workers",30
2003,manufacturing,paper products and printing,"production and transport operators, cleaners and labourers",170
2003,manufacturing,"petroleum, chemical and pharmaceutical products",total,270
2003,manufacturing,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",80
2003,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",110
2003,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",80
2003,manufacturing,rubber and plastic products,total,580
2003,manufacturing,rubber and plastic products,"professionals, managers, executives and technicians",70
2003,manufacturing,rubber and plastic products,"clerical, sales and services workers",20
2003,manufacturing,rubber and plastic products,"production and transport operators, cleaners and labourers",490
2003,manufacturing,fabricated metal products,total,670
2003,manufacturing,fabricated metal products,"professionals, managers, executives and technicians",140
2003,manufacturing,fabricated metal products,"clerical, sales and services workers",30
2003,manufacturing,fabricated metal products,"production and transport operators, cleaners and labourers",500
2003,manufacturing,machinery and equipment,total,500
2003,manufacturing,machinery and equipment,"professionals, managers, executives and technicians",200
2003,manufacturing,machinery and equipment,"clerical, sales and services workers",70
2003,manufacturing,machinery and equipment,"production and transport operators, cleaners and labourers",230
2003,manufacturing,electrical products,total,250
2003,manufacturing,electrical products,"professionals, managers, executives and technicians",50
2003,manufacturing,electrical products,"clerical, sales and services workers",30
2003,manufacturing,electrical products,"production and transport operators, cleaners and labourers",170
2003,manufacturing,electronic products,total,3780
2003,manufacturing,electronic products,"professionals, managers, executives and technicians",1040
2003,manufacturing,electronic products,"clerical, sales and services workers",240
2003,manufacturing,electronic products,"production and transport operators, cleaners and labourers",2500
2003,manufacturing,medical and precision instruments,total,210
2003,manufacturing,medical and precision instruments,"professionals, managers, executives and technicians",30
2003,manufacturing,medical and precision instruments,"clerical, sales and services workers",10
2003,manufacturing,medical and precision instruments,"production and transport operators, cleaners and labourers",160
2003,manufacturing,transport equipment,total,450
2003,manufacturing,transport equipment,"professionals, managers, executives and technicians",70
2003,manufacturing,transport equipment,"clerical, sales and services workers",30
2003,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",340
2003,manufacturing,other manufacturing industries,total,410
2003,manufacturing,other manufacturing industries,"professionals, managers, executives and technicians",40
2003,manufacturing,other manufacturing industries,"clerical, sales and services workers",30
2003,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",330
2003,construction,construction,total,740
2003,construction,construction,"professionals, managers, executives and technicians",240
