Employee_ID,Age,Gender,Department,Job_Role,Work_Experience,Work_Hours_per_Week,Remote_Work,Workload_Score,Job_Satisfaction,Sleep_Hours,Physical_Activity_Hrs,Caffeine_Intake,Stress_Level,Mental_Health_Score
E0030,28,Male,Sales,Developer,4,66,No,5,7,7.5,1.3,5,3.6,69.6
E0031,42,Male,IT,Intern,20,55,No,9,6,7.9,1.3,0,6.9,45.1
E0032,30,Female,Marketing,Analyst,1,60,Yes,5,3,4.2,0.6,2,5.8,48.5
E0033,39,Male,Finance,Analyst,13,61,Yes,9,8,6.1,1.4,3,8.2,40.0
E0034,25,Male,Sales,Developer,18,31,Yes,8,3,4.6,0.8,4,7.4,45.8
E0035,46,Female,Sales,Manager,9,54,No,3,5,6.2,0.0,2,2.9,78.9
E0036,35,Male,IT,Team Lead,26,31,No,8,9,6.2,0.3,6,4.9,55.7
E0037,30,Male,HR,Executive,24,30,No,3,5,6.5,1.8,4,4.6,60.9
E0038,47,Female,Finance,Intern,24,65,Yes,7,7,8.5,0.4,5,4.4,67.6
E0039,23,Female,Sales,Executive,9,41,No,3,7,8.0,0.2,2,3.1,77.1
E0040,41,Female,IT,Executive,23,38,No,4,5,7.2,1.4,3,5.3,56.1
E0041,49,Male,Marketing,Intern,29,65,No,4,2,8.4,0.9,5,6.0,53.2
E0042,28,Male,Sales,Intern,9,57,Yes,8,5,7.4,1.6,0,5.7,50.8
E0043,29,Male,IT,Analyst,10,67,Yes,4,7,8.1,1.7,4,3.3,69.7
E0044,56,Male,HR,Executive,28,62,No,4,7,6.8,1.7,4,3.9,61.3
E0045,35,Female,HR,Team Lead,2,51,No,7,4,6.6,0.6,0,7.5,42.8
E0046,38,Male,Sales,Team Lead,6,54,Yes,4,1,7.6,1.0,6,4.3,65.3
E0047,57,Male,Sales,Developer,15,47,No,6,6,4.1,1.3,4,5.9,52.8
E0048,25,Female,Finance,Intern,3,35,Yes,6,3,7.5,0.6,5,5.9,43.6
E0049,23,Female,IT,Analyst,11,47,No,6,5,8.7,0.1,1,4.1,67.1
E0050,27,Female,Sales,Team Lead,6,45,No,3,4,7.6,1.0,6,5.2,60.1
E0051,25,Male,Finance,Manager,3,44,Yes,8,2,4.2,0.0,0,8.6,40.0
E0052,50,Male,Finance,Analyst,24,37,No,8,7,5.9,1.9,3,7.4,40.9
E0053,39,Male,Sales,Analyst,11,42,Yes,5,5,8.0,1.6,6,5.8,53.4
E0054,47,Male,HR,Team Lead,15,36,Yes,7,7,8.8,0.4,2,4.9,59.4
E0055,55,Female,IT,Manager,13,46,No,6,9,5.9,0.6,2,5.0,63.9
E0056,31,Female,IT,Developer,20,61,Yes,6,4,8.2,2.0,0,5.7,57.6
E0057,57,Female,HR,Team Lead,28,51,Yes,4,5,8.3,0.7,1,3.2,84.4
E0058,35,Female,Sales,Manager,10,42,Yes,6,9,4.6,1.6,5,3.4,69.2
E0059,52,Male,IT,Analyst,6,52,Yes,4,4,8.2,0.9,3,4.8,62.9
E0060,36,Female,Sales,Manager,15,58,Yes,4,5,5.6,1.7,2,4.7,66.9
E0061,29,Male,Sales,Analyst,25,51,Yes,5,5,7.0,1.4,2,4.5,61.9
E0062,35,Female,Finance,Team Lead,18,30,No,3,8,6.7,0.0,5,3.0,81.1
E0063,44,Female,HR,Intern,18,58,Yes,4,4,7.3,0.6,1,6.3,50.7
E0064,42,Male,Sales,Team Lead,7,34,No,4,4,7.7,1.1,4,2.4,75.6
E0065,37,Male,Marketing,Executive,15,64,Yes,8,7,6.2,1.9,6,6.5,44.1
E0066,39,Other,HR,Executive,18,39,Yes,5,5,8.4,0.2,0,5.4,55.1
E0067,45,Male,IT,Executive,18,48,Yes,4,6,8.0,1.2,1,4.8,61.3
E0068,47,Male,Finance,Team Lead,20,66,No,7,6,7.9,0.6,1,4.0,71.7
E0069,46,Male,IT,Developer,9,36,No,3,6,6.3,1.8,1,3.5,71.7
E0070,50,Female,IT,Team Lead,24,64,No,7,5,4.2,1.5,1,6.0,55.6
E0071,36,Female,HR,Intern,2,42,Yes,6,5,6.5,0.7,4,5.7,54.7
E0072,22,Female,IT,Manager,8,39,No,3,9,8.5,0.3,5,1.4,88.8
E0073,46,Male,Sales,Team Lead,20,31,Yes,6,8,5.0,0.0,3,5.2,57.5
E0074,28,Female,IT,Team Lead,2,35,Yes,8,4,8.9,1.2,6,5.4,59.7
E0075,30,Male,Finance,Analyst,11,37,No,9,7,8.0,0.8,1,5.7,54.8
E0076,45,Female,Finance,Analyst,26,65,Yes,9,8,7.5,0.6,6,7.1,41.0
E0077,22,Female,Marketing,Analyst,7,54,No,9,9,7.4,2.0,1,6.3,50.6
E0078,29,Male,Finance,Team Lead,6,69,Yes,4,5,6.9,0.9,0,4.5,62.6
E0079,45,Male,IT,Developer,10,36,No,5,3,7.6,1.5,2,4.0,66.5
E0080,32,Male,Finance,Manager,5,52,No,7,4,6.1,0.4,4,6.6,50.7
E0081,38,Male,HR,Manager,11,48,No,6,6,8.2,0.0,1,5.2,57.9
E0082,29,Male,Finance,Intern,1,51,Yes,4,5,7.5,0.8,3,2.3,88.0
E0083,56,Female,Sales,Developer,2,42,Yes,9,9,7.9,1.3,3,5.8,55.8
E0084,56,Female,HR,Developer,24,50,No,7,3,8.0,1.0,3,5.2,56.1
E0085,54,Male,Marketing,Manager,1,30,Yes,7,2,4.5,1.8,0,5.7,51.9
E0086,26,Male,Sales,Executive,19,48,No,8,6,4.3,0.9,3,5.4,53.1
E0087,49,Male,IT,Analyst,2,62,No,8,7,8.0,0.6,5,3.4,74.6
E0088,28,Female,IT,Analyst,21,33,Yes,9,5,5.3,1.8,0,6.7,43.8
E0089,30,Male,IT,Manager,20,32,No,6,1,6.9,0.8,4,5.5,49.2
E0090,29,Female,Sales,Developer,29,56,No,9,3,6.2,0.5,3,8.6,40.0
E0091,33,Female,Sales,Intern,23,64,Yes,9,3,4.1,0.2,2,7.5,40.0
E0092,55,Female,Sales,Executive,21,57,Yes,4,4,4.2,1.6,1,4.5,65.0
E0093,54,Female,HR,Manager,24,35,Yes,5,6,8.1,1.7,4,2.8,77.4
E0094,44,Male,HR,Analyst,4,35,Yes,9,5,7.0,0.1,5,6.4,51.6
E0095,45,Female,IT,Team Lead,12,52,No,6,1,6.6,0.7,2,7.8,40.0
E0096,58,Male,Finance,Developer,22,62,Yes,7,6,8.7,1.5,4,6.7,45.4
E0097,56,Male,IT,Team Lead,20,45,No,7,9,4.9,1.9,5,4.7,67.6
E0098,43,Female,Marketing,Intern,18,53,Yes,3,1,5.3,0.8,3,5.3,56.6
E0099,48,Female,HR,Manager,1,34,No,9,8,7.8,1.7,4,6.4,49.5
E0100,56,Female,Sales,Analyst,1,42,No,4,8,7.9,0.8,4,2.3,79.6
E0101,22,Male,HR,Executive,24,41,Yes,3,3,6.0,0.4,4,5.0,59.3
E0102,56,Male,Sales,Team Lead,14,34,Yes,8,9,8.8,0.0,0,7.1,44.6
E0103,58,Female,Marketing,Executive,4,66,No,5,8,8.7,0.7,2,4.4,66.8
E0104,35,Male,Marketing,Intern,5,60,No,6,3,4.1,0.8,6,7.2,42.8
E0105,24,Female,HR,Analyst,11,57,Yes,9,5,4.9,1.9,5,8.5,40.0
E0106,22,Female,Sales,Team Lead,24,57,Yes,7,3,8.1,0.4,3,7.0,44.4
E0107,26,Female,Marketing,Intern,28,59,Yes,4,5,5.7,0.8,1,4.4,62.6
E0108,47,Male,IT,Executive,23,47,Yes,7,9,4.5,0.1,3,4.0,67.4
E0109,35,Male,IT,Executive,13,56,No,9,4,7.9,1.5,3,6.7,47.4
E0110,48,Male,Sales,Team Lead,16,64,No,8,6,6.3,1.8,0,5.2,61.4
E0111,30,Female,HR,Analyst,24,55,Yes,3,3,6.5,0.5,0,4.3,62.9
E0112,36,Male,Marketing,Executive,13,68,No,9,3,4.9,0.9,4,6.9,44.3
E0113,36,Female,HR,Manager,24,47,Yes,3,5,7.3,0.2,3,3.5,69.0
E0114,47,Male,IT,Intern,22,62,No,6,8,6.8,0.9,2,3.1,73.9
E0115,34,Other,Marketing,Team Lead,26,54,Yes,4,8,5.0,0.3,0,3.2,77.4
E0116,53,Male,HR,Developer,2,60,Yes,8,3,5.7,1.0,5,7.5,40.0
E0117,53,Male,Finance,Developer,16,66,Yes,4,8,7.0,1.5,0,4.1,66.9
E0118,25,Male,Sales,Analyst,6,31,Yes,6,8,8.6,1.1,2,4.6,59.5
E0119,51,Female,Sales,Manager,14,62,No,8,3,8.6,0.5,0,6.2,48.7
E0120,58,Female,Finance,Executive,1,68,No,8,2,5.4,0.7,6,7.6,40.0
E0121,44,Female,IT,Developer,17,61,Yes,3,2,7.7,1.3,2,6.5,48.8
E0122,36,Male,Marketing,Analyst,11,47,No,3,9,7.9,1.2,6,1.9,85.9
E0123,50,Male,Sales,Intern,19,46,Yes,3,7,8.0,0.3,6,4.7,63.4
E0124,57,Female,Finance,Manager,3,63,No,7,6,6.9,1.7,1,4.2,67.6
E0125,34,Male,Finance,Manager,11,68,Yes,5,7,4.1,1.0,2,3.2,75.4
E0126,53,Male,IT,Analyst,29,36,Yes,9,8,7.8,0.3,1,5.6,50.6
E0127,28,Other,IT,Analyst,5,64,Yes,3,1,4.5,0.2,5,5.5,53.6
E0128,43,Other,HR,Executive,17,59,No,5,8,4.6,1.9,4,3.4,66.1
E0129,49,Female,Sales,Analyst,26,41,No,5,3,7.0,0.6,4,5.1,57.8
E0130,23,Female,HR,Executive,22,64,Yes,4,3,8.9,1.8,6,5.0,57.4
E0131,27,Male,Finance,Executive,7,40,Yes,6,6,5.2,0.8,0,4.4,64.7
E0132,49,Male,Marketing,Team Lead,10,33,Yes,7,4,7.2,0.8,2,7.0,51.4
E0133,49,Female,Marketing,Manager,28,54,No,5,4,5.5,1.4,0,6.5,50.3
E0134,41,Female,IT,Intern,29,61,No,9,4,8.5,0.0,2,8.0,40.6
E0135,51,Male,Marketing,Manager,11,49,Yes,7,9,7.0,0.7,0,3.8,72.1
E0136,32,Male,Marketing,Manager,3,60,Yes,4,8,5.0,0.6,4,3.1,74.9
E0137,49,Male,Marketing,Team Lead,20,33,No,3,3,5.3,1.7,5,4.6,63.2
E0138,46,Female,Finance,Executive,10,67,Yes,8,1,6.2,1.1,4,7.3,44.2
E0139,54,Female,Marketing,Executive,27,30,Yes,5,1,4.6,0.7,0,6.1,51.9
E0140,22,Female,Marketing,Analyst,10,32,Yes,6,1,4.4,0.5,2,7.7,40.0
E0141,48,Male,Marketing,Team Lead,14,66,Yes,8,4,7.4,1.2,3,7.1,47.5
E0142,34,Other,HR,Analyst,12,51,No,4,6,6.0,0.3,5,3.4,74.1
E0143,24,Female,Finance,Team Lead,15,46,No,7,4,7.6,0.5,2,4.9,56.5
E0144,27,Male,IT,Analyst,10,43,Yes,9,3,4.6,0.6,0,6.6,46.7
E0145,29,Male,HR,Developer,10,64,No,3,8,7.0,1.2,2,2.2,82.6
E0146,48,Male,Sales,Manager,26,42,Yes,7,8,6.2,0.7,1,5.9,51.6
E0147,30,Male,Finance,Manager,19,64,No,6,6,4.3,1.0,2,5.7,53.2
E0148,58,Female,Finance,Intern,1,31,No,5,9,6.7,1.3,4,4.6,61.9
E0149,54,Male,Sales,Executive,24,42,No,6,1,4.4,1.9,6,5.3,52.2
E0150,45,Female,Sales,Intern,29,45,Yes,7,8,8.1,1.5,4,5.0,54.1
E0151,36,Male,Sales,Developer,26,47,Yes,7,6,7.2,0.8,1,5.7,52.4
E0152,53,Male,IT,Intern,10,36,Yes,8,1,6.8,1.5,5,8.6,40.0
E0153,53,Male,Marketing,Manager,2,65,No,6,4,4.7,1.9,2,5.7,50.4
E0154,45,Male,Finance,Executive,17,59,Yes,6,5,5.4,1.0,5,5.2,55.3
E0155,33,Female,Marketing,Developer,24,36,No,6,7,6.5,0.8,3,6.3,48.8
E0156,23,Female,Marketing,Manager,7,44,No,3,8,7.2,0.2,2,2.8,80.7
E0157,24,Female,Sales,Analyst,7,69,No,9,9,4.9,1.8,4,6.2,53.3
E0158,58,Female,IT,Team Lead,20,48,No,7,6,4.0,0.5,6,6.5,51.0
E0159,38,Male,HR,Developer,27,66,Yes,4,9,5.7,0.1,4,1.9,81.8
E0160,23,Male,IT,Executive,9,31,Yes,3,4,6.4,1.1,5,4.3,64.9
E0161,23,Male,Marketing,Intern,22,42,Yes,3,8,4.9,1.7,0,2.2,86.1
E0162,49,Female,IT,Intern,2,69,No,3,3,6.5,0.8,4,4.5,58.7
E0163,44,Male,Sales,Developer,14,60,Yes,8,4,5.7,1.6,0,6.5,46.6
E0164,58,Male,HR,Executive,17,45,No,9,4,6.3,1.7,4,6.7,47.1
E0165,53,Female,Sales,Developer,1,35,Yes,9,6,5.7,0.9,4,7.3,40.0
E0166,54,Male,HR,Executive,9,57,Yes,4,9,7.1,1.2,6,3.3,74.9
E0167,22,Male,Marketing,Intern,20,61,No,6,6,4.2,1.1,3,4.6,67.8
E0168,40,Male,HR,Manager,21,39,Yes,8,1,4.9,1.9,0,6.8,49.3
E0169,23,Female,HR,Analyst,19,47,Yes,7,5,6.2,1.5,0,6.8,45.1
E0170,47,Female,HR,Manager,4,33,No,5,9,5.8,1.9,4,3.9,71.2
E0171,53,Female,IT,Analyst,28,38,Yes,8,5,6.0,0.4,0,5.1,54.1
E0172,27,Male,IT,Intern,8,36,Yes,5,6,8.0,0.6,4,4.0,68.8
E0173,53,Other,Marketing,Manager,13,37,Yes,7,3,8.4,0.1,4,6.0,51.1
E0174,25,Female,HR,Manager,4,36,Yes,4,8,5.2,1.0,5,2.7,78.0
E0175,32,Male,Finance,Developer,9,69,No,9,4,8.2,1.7,2,6.2,50.7
E0176,38,Female,Marketing,Team Lead,9,32,No,5,4,6.3,0.7,0,6.1,52.4
E0177,59,Male,HR,Intern,22,46,Yes,3,5,5.4,0.3,6,6.6,42.8
E0178,45,Female,HR,Executive,18,31,Yes,8,9,8.9,0.1,1,5.1,56.3
E0179,26,Female,IT,Intern,12,44,Yes,5,8,8.1,0.9,5,2.5,79.2
E0180,55,Male,Marketing,Executive,10,58,No,7,7,9.0,0.3,0,4.6,57.9
E0181,27,Other,HR,Executive,11,51,Yes,9,5,4.8,0.7,6,7.3,42.0
E0182,43,Female,HR,Analyst,7,33,Yes,3,9,4.7,1.6,0,3.9,71.3
E0183,32,Female,Marketing,Executive,9,35,No,5,9,6.5,0.8,3,4.6,67.4
E0184,37,Male,Finance,Executive,6,67,No,9,2,7.2,1.2,1,8.9,40.0
E0185,54,Male,Marketing,Developer,19,55,Yes,7,4,4.9,1.0,1,6.5,53.7
E0186,30,Male,Marketing,Manager,16,40,Yes,4,8,8.3,1.4,6,3.3,73.5
E0187,27,Female,Finance,Intern,15,55,Yes,7,1,6.7,0.3,3,5.2,54.6
E0188,37,Male,Marketing,Intern,7,46,Yes,4,5,6.1,1.8,3,3.6,71.0
E0189,50,Female,HR,Executive,16,53,No,9,8,7.0,1.3,0,4.6,62.6
E0190,24,Female,Marketing,Team Lead,5,57,No,9,2,7.2,0.5,2,6.8,47.1
E0191,41,Male,Finance,Intern,16,64,No,3,2,4.2,0.2,6,4.2,67.2
E0192,57,Female,Sales,Executive,1,60,Yes,7,8,9.0,0.3,3,3.5,72.6
E0193,40,Male,Marketing,Analyst,19,42,Yes,6,9,5.8,1.6,1,5.4,59.7
E0194,47,Other,IT,Analyst,5,64,Yes,8,7,4.3,1.2,6,4.4,63.5
E0195,24,Female,HR,Analyst,7,45,Yes,6,8,8.3,0.8,1,4.0,69.6
E0196,40,Male,HR,Executive,19,44,No,6,5,9.0,0.7,0,5.8,54.4
E0197,41,Male,IT,Developer,22,47,Yes,6,1,8.1,1.7,6,6.0,52.3
E0198,53,Male,IT,Team Lead,5,66,Yes,8,4,8.3,1.7,2,7.6,40.0
E0199,28,Female,Marketing,Executive,29,56,Yes,6,2,7.1,1.2,4,5.6,51.4
E0200,54,Female,IT,Developer,17,64,Yes,4,3,8.6,1.0,6,6.3,48.8
E0201,39,Female,Sales,Developer,26,64,Yes,7,3,4.2,1.6,3,5.4,56.2
E0202,22,Male,Finance,Intern,22,57,No,9,9,7.8,1.5,3,6.7,44.2
E0203,32,Male,IT,Executive,8,68,Yes,3,4,7.4,0.8,0,3.2,70.3
E0204,49,Male,IT,Executive,29,67,No,6,2,4.2,0.2,5,8.1,40.0
E0205,46,Female,Sales,Developer,29,38,Yes,9,3,6.7,1.5,5,6.9,43.4
E0206,44,Female,HR,Developer,1,41,Yes,6,3,6.6,0.3,2,7.0,40.0
E0207,52,Male,HR,Developer,2,44,No,3,7,7.5,0.0,1,4.4,60.8
E0208,51,Male,Marketing,Intern,15,50,Yes,3,8,4.4,1.7,1,3.0,69.7
E0209,56,Female,Sales,Executive,20,64,No,6,6,8.0,1.2,4,5.8,54.5
E0210,28,Female,Finance,Developer,28,62,Yes,4,4,4.7,1.8,1,5.1,62.1
E0211,37,Female,Finance,Analyst,18,48,No,9,6,6.1,1.0,5,5.2,58.4
E0212,47,Female,Sales,Executive,11,52,No,3,1,8.4,1.9,5,5.3,56.4
E0213,23,Male,Finance,Intern,25,42,No,7,8,6.8,0.7,3,4.0,63.8
E0214,22,Male,HR,Analyst,10,30,No,9,1,5.9,1.4,4,7.5,40.0
E0215,33,Female,Finance,Manager,24,58,No,7,5,4.2,0.6,2,5.5,55.9
E0216,26,Female,Finance,Executive,24,53,Yes,9,2,7.4,0.0,4,7.9,40.0
E0217,58,Male,Sales,Manager,4,45,No,4,6,8.9,0.8,6,2.8,75.1
E0218,53,Female,Sales,Developer,5,54,No,8,9,8.6,1.5,2,3.7,73.6
E0219,30,Female,Finance,Intern,4,52,Yes,5,5,7.6,0.3,5,3.7,68.3
E0220,56,Female,IT,Developer,13,57,Yes,4,4,4.5,1.0,1,4.5,67.3
E0221,40,Female,Sales,Intern,25,45,No,6,2,5.2,0.4,0,7.0,41.7
E0222,37,Male,Marketing,Team Lead,13,67,Yes,5,3,4.9,0.1,4,6.7,40.0
E0223,24,Female,Marketing,Developer,18,40,Yes,6,6,5.8,1.2,4,6.1,53.1
E0224,41,Female,HR,Manager,29,32,No,7,8,5.2,1.9,3,5.3,54.8
E0225,45,Female,Finance,Intern,27,44,Yes,3,8,5.2,0.6,3,3.3,69.0
E0226,54,Female,IT,Developer,24,30,Yes,9,5,7.1,1.2,5,6.6,48.6
E0227,45,Female,HR,Executive,2,36,No,6,5,5.6,1.9,2,6.0,49.3
E0228,32,Male,Finance,Intern,16,30,Yes,7,3,7.4,1.3,0,7.4,40.0
E0229,29,Female,Sales,Intern,1,61,No,4,7,8.7,1.3,6,3.3,77.5
E0230,57,Female,Marketing,Developer,26,38,Yes,6,6,7.2,0.4,3,5.5,55.4
E0231,59,Female,IT,Team Lead,19,58,Yes,7,1,7.8,1.0,3,5.6,50.9
E0232,41,Female,Marketing,Developer,9,55,Yes,3,4,7.8,0.7,1,4.8,60.2
E0233,56,Female,Sales,Manager,28,52,No,9,6,5.7,0.9,1,6.9,51.2
E0234,46,Male,Finance,Manager,3,58,Yes,6,6,4.1,1.6,5,4.6,63.5
E0235,56,Female,Sales,Intern,25,67,Yes,8,3,4.3,0.9,5,8.4,40.0
E0236,46,Male,Sales,Intern,7,62,Yes,7,6,5.4,0.1,3,4.6,64.7
E0237,50,Male,Marketing,Developer,29,36,Yes,6,6,7.4,1.8,2,2.8,76.2
E0238,39,Female,IT,Manager,10,41,Yes,3,9,8.5,1.1,6,3.3,72.1
E0239,39,Female,Sales,Manager,1,60,Yes,9,9,8.8,1.8,0,5.6,53.2
E0240,23,Male,Marketing,Team Lead,10,61,No,6,2,4.1,1.1,3,5.6,57.8
E0241,56,Male,IT,Executive,21,49,Yes,6,4,9.0,0.1,2,5.6,55.8
E0242,37,Female,Finance,Team Lead,9,46,No,9,9,5.6,1.1,2,7.0,48.3
E0243,57,Male,Finance,Analyst,28,65,No,8,4,8.2,1.2,3,6.6,48.1
E0244,54,Male,HR,Team Lead,15,32,Yes,7,8,4.9,0.4,2,7.7,43.0
E0245,25,Male,Marketing,Developer,15,30,Yes,5,3,4.3,0.9,4,5.1,61.2
E0246,54,Male,IT,Executive,3,56,No,9,3,5.9,0.9,2,5.4,56.0
E0247,35,Male,Sales,Developer,25,69,No,6,9,8.3,1.2,3,2.6,78.8
E0248,42,Male,Finance,Analyst,5,62,Yes,5,8,5.1,0.5,2,2.1,88.7
E0249,41,Male,IT,Executive,9,49,No,4,1,4.8,1.2,6,8.0,40.0
E0250,29,Female,Marketing,Intern,26,43,Yes,6,2,8.5,0.5,3,5.9,57.4
E0251,28,Female,HR,Manager,22,65,Yes,5,3,8.7,0.9,1,7.0,41.0
E0252,24,Female,Finance,Team Lead,9,34,Yes,4,2,4.1,0.2,3,5.4,51.2
E0253,38,Male,IT,Developer,23,52,No,8,3,7.6,0.1,2,5.9,50.3
E0254,54,Male,IT,Analyst,7,44,No,7,8,5.5,0.6,3,3.6,71.7
E0255,33,Female,IT,Manager,24,35,No,6,6,5.9,0.5,0,4.9,58.9
E0256,43,Male,Marketing,Team Lead,23,62,Yes,7,7,6.3,0.8,3,6.2,50.5
E0257,43,Female,Marketing,Manager,12,48,Yes,4,6,6.1,1.9,3,4.0,66.6
E0258,51,Female,Marketing,Team Lead,25,42,Yes,7,1,6.6,1.0,0,5.5,50.7
E0259,59,Female,Sales,Intern,27,58,No,7,3,6.9,1.1,0,7.0,45.3
E0260,59,Male,IT,Executive,9,35,Yes,9,1,6.3,1.9,0,8.8,40.0
E0261,29,Male,Finance,Manager,6,44,Yes,3,9,7.5,1.8,5,2.1,87.2
E0262,48,Female,Marketing,Manager,23,45,Yes,4,9,7.6,1.8,4,2.5,80.5
E0263,48,Male,Marketing,Manager,2,53,No,7,5,6.2,0.2,5,4.3,67.9
E0264,55,Female,IT,Executive,9,52,Yes,5,4,4.7,1.3,3,6.2,47.9
E0265,42,Female,Marketing,Analyst,28,39,Yes,4,9,7.2,1.6,5,2.7,79.4
E0266,51,Other,Sales,Team Lead,29,46,Yes,3,9,7.9,1.7,5,1.0,94.4
E0267,54,Male,Sales,Intern,17,59,No,6,3,7.2,1.2,0,4.4,66.5
E0268,49,Female,Marketing,Manager,1,39,No,8,5,6.9,0.0,0,6.8,44.9
E0269,54,Female,IT,Executive,19,48,No,7,3,5.1,1.9,1,6.4,49.9
E0270,26,Male,IT,Analyst,28,58,Yes,5,2,7.2,0.9,5,4.6,65.1
E0271,40,Male,IT,Team Lead,6,31,Yes,3,1,5.7,0.8,4,5.3,61.2
E0272,25,Female,HR,Executive,5,65,No,4,2,8.6,0.8,3,4.1,65.5
E0273,56,Male,Marketing,Intern,2,48,Yes,8,8,7.3,0.8,6,4.7,59.0
E0274,38,Male,IT,Intern,9,36,Yes,8,8,5.4,0.5,6,5.5,53.5
E0275,49,Male,Sales,Team Lead,29,55,Yes,7,3,6.4,0.7,2,8.1,40.0
E0276,51,Female,Finance,Manager,26,44,No,3,7,8.2,2.0,4,4.7,62.4
E0277,50,Female,Finance,Intern,14,67,Yes,3,7,5.7,0.7,4,1.7,88.3
E0278,27,Female,IT,Analyst,4,32,No,5,2,6.6,1.1,1,5.7,56.9
E0279,56,Male,Finance,Executive,4,67,No,6,9,7.4,1.7,3,2.7,72.7
E0280,58,Male,Finance,Analyst,21,45,Yes,6,3,7.8,1.1,3,4.7,61.0
E0281,45,Female,HR,Manager,15,31,Yes,9,2,4.9,0.6,0,6.2,51.0
E0282,50,Female,Sales,Analyst,8,60,No,6,3,6.8,1.0,0,5.1,62.5
E0283,52,Male,Sales,Analyst,26,57,No,9,2,8.6,0.2,4,6.2,50.2
E0284,56,Female,HR,Developer,4,36,No,8,8,8.8,0.3,1,6.1,55.3
E0285,54,Other,HR,Analyst,16,59,No,8,5,7.3,1.4,3,5.4,58.5
E0286,42,Female,Finance,Team Lead,21,36,Yes,4,3,8.9,1.8,1,2.7,79.5
E0287,53,Female,Marketing,Executive,28,65,No,8,5,6.9,1.5,2,6.3,49.3
E0288,44,Female,Finance,Developer,4,58,Yes,8,8,6.2,0.1,6,5.4,56.7
E0289,54,Male,HR,Executive,16,53,No,3,7,6.8,0.8,3,3.1,76.2
E0290,24,Female,Sales,Executive,22,68,No,4,6,4.6,0.0,0,5.1,58.6
E0291,39,Other,Finance,Manager,12,33,No,3,1,6.0,1.0,4,6.4,52.1
E0292,46,Male,Marketing,Manager,16,58,No,5,1,6.3,0.4,1,5.9,55.4
E0293,52,Female,Finance,Developer,19,34,No,9,1,8.2,1.7,6,7.9,40.4
E0294,24,Female,IT,Intern,8,58,Yes,9,8,7.8,0.2,6,5.5,52.9
E0295,45,Female,Finance,Manager,6,59,No,5,8,7.0,0.0,6,4.5,60.8
E0296,53,Female,HR,Manager,10,58,Yes,9,7,5.7,0.9,0,5.0,61.5
